id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1498060128393875473,1498060128393875473,2022-02-28 03:49:01 India Standard Time,2022-02-28,03:49:01,+0530,2965398148,sheithakazmi,SheithKazmi,,"Ukraine is funding a defense with Bitcoin, not a war.   Russia will bypass sanctions with Bitcoin, adding massive value to a decentralized monetary settlement network.   Canada has prevented their authoritative government from stealing their wealth and information with Bitcoin.",en,[],[],[],0,0,0,[],[],https://twitter.com/SheithAKazmi/status/1498060128393875473,False,,0,,,,,,,,[],,,,
1498059817801367557,1498059817801367557,2022-02-28 03:47:47 India Standard Time,2022-02-28,03:47:47,+0530,1333201706465849344,bigwickvic,VicWickz,,Had to find some new accounts that give war updates because the permabulls I follow wont post anything remotely bearish 🤦🏼‍♂️   Its important to know Belarus is rumored to attack Ukraine tomorrow. Yes this will be a short signal  $btc #crypto #bitcoin,en,[],[],[],1,0,3,"['crypto', 'bitcoin']",['btc'],https://twitter.com/BigWickVic/status/1498059817801367557,False,,0,,,,,,,,[],,,,
1498057187456917508,1498057187456917508,2022-02-28 03:37:20 India Standard Time,2022-02-28,03:37:20,+0530,262858933,belalnemer,belal EL Nemer,,"⚡️11 transport ships of the #Russian Federation, each containing one battalion, are heading to #Odessa, there will be an attempt to land an assault - Arestovich. #Bitcoin #UkraineWar #UkraineRussia",en,[],[],[],1,0,1,"['russian', 'odessa', 'bitcoin', 'ukrainewar', 'ukrainerussia']",[],https://twitter.com/BELALnemer/status/1498057187456917508,False,,0,,,,,,,,[],,,,
1498055765025869824,1498055120579399689,2022-02-28 03:31:41 India Standard Time,2022-02-28,03:31:41,+0530,734085490190606336,silinkion1,Nicole esq👑,,Russian civilian's don't want a war. It's unlikely Russia government is using the BTC network anyway.  I too take Ukraine side in this disgusting act by Putin but we must maintain integrity of the Bitcoin network.,en,[],[],[],0,0,0,[],[],https://twitter.com/silinkion1/status/1498055765025869824,False,,0,,,,,,,,[],,,,
1498055691017375750,1498055691017375750,2022-02-28 03:31:23 India Standard Time,2022-02-28,03:31:23,+0530,81196232,mizutabushi,Yukio Mizuta,,"Ukraine accepts #Bitcoin, #Ethereum, #USDT donations to fund ongoing war The Ukrainian government has reached out to the #crypto community on @Twitter to raise funds to support its civilians and troops.   https://t.co/eL6nJLylTy",en,"[{'screen_name': 'twitter', 'name': 'twitter', 'id': '783214'}]",['https://cointelegraph.com/news/ukraine-accepts-bitcoin-ethereum-usdt-donations-to-fund-ongoing-war'],[],2,0,2,"['bitcoin', 'ethereum', 'usdt', 'crypto']",[],https://twitter.com/mizutabushi/status/1498055691017375750,False,,0,,,,,,,,[],,,,
1498055522347634700,1498055522347634700,2022-02-28 03:30:43 India Standard Time,2022-02-28,03:30:43,+0530,1459900239641513984,ahcryptocoin,Ahcrypto,,"Ukraine accepts Bitcoin, Ethereum, USDT donations amid ongoing war  https://t.co/sS8aZgENWY",en,[],['https://ahcrypto.com/ukraine-accepts-bitcoin-ethereum-usdt-donations-amid-ongoing-war/?feed_id=4430&_unique_id=621bf48b99a7e'],[],0,0,0,[],[],https://twitter.com/Ahcryptocoin/status/1498055522347634700,False,,0,,,,,,,,[],,,,
1498054903658426373,1498054903658426373,2022-02-28 03:28:16 India Standard Time,2022-02-28,03:28:16,+0530,1111941377347239936,bitcointosaveus,Bitcoin To Save Us All,,I would buy #Bitcoin if I was Russian!! Read below👇🏻 #Russia #Ukraine #btc #news #war #politics #money,en,[],[],[],0,0,0,"['bitcoin', 'russia', 'ukraine', 'btc', 'news', 'war', 'politics', 'money']",[],https://twitter.com/BitcoinToSaveUs/status/1498054903658426373,False,https://twitter.com/gladstein/status/1497998499165597696,0,,,,,,,,[],,,,
1498054669712584706,1498054669712584706,2022-02-28 03:27:20 India Standard Time,2022-02-28,03:27:20,+0530,1497944581467525122,savagecrypto5,Savage Crypto - Challenge 0$ to 100k$,,"The final bullish wave on #Bitcoin will be fueled by fear. Fears about inflation, the use of repressive measures and the ongoing war in Ukraine. ''Inflation is the price to pay'' will be the new narative to restore the economy! Watch out for more easy money!  🔜🌊 #cryptocurrency  https://t.co/Gx5K2Cy1k8",en,[],[],['https://pbs.twimg.com/media/FMomuCXXwA4E2-7.png'],2,0,2,"['bitcoin', 'cryptocurrency']",[],https://twitter.com/SavageCrypto5/status/1498054669712584706,False,,1,https://pbs.twimg.com/media/FMomuCXXwA4E2-7.png,,,,,,,[],,,,
1498054050566352900,1498036208777273350,2022-02-28 03:24:52 India Standard Time,2022-02-28,03:24:52,+0530,1433715211454849024,lucky2107737122,Lucky21,,@Stammtisch21 @elbitcoinamb @Nolo_999 @f_schaeffler @sebulino @insideBitcoinDE @motorbrot @derHelper @jesse_hodl @lightningrises @BitBoxer75 @blocktrainer Hallo Leute wie immer wars mir ein Fest hat mir sehr gut gefallen danke an Herrn schäffler ich glaube das Bitcoin das schafft ganz klar hold und kauft sats ich tu das gerade jetzt günstig bin fast immer bullisch wenn ich im Podcast war okay betet für die Ukraine 🌍💯😔👍,de,[],[],[],2,1,7,[],[],https://twitter.com/Lucky2107737122/status/1498054050566352900,False,,0,,,,,,,,"[{'screen_name': 'Stammtisch21', 'name': 'Stammtisch21', 'id': '1453783398456102912'}, {'screen_name': 'elbitcoinamb', 'name': 'El Bitcoin ambassador 🌋🇸🇻⚡\U0001f9e1', 'id': '1246158908089077762'}, {'screen_name': 'Nolo_999', 'name': 'Nolo', 'id': '852803649252098051'}, {'screen_name': 'f_schaeffler', 'name': 'Frank Schäffler', 'id': '18189342'}, {'screen_name': 'sebulino', 'name': 'Sebastian Alscher ⚡️', 'id': '50774056'}, {'screen_name': 'insideBitcoinDE', 'name': 'insideBitcoin by Flo', 'id': '1418963090675314695'}, {'screen_name': 'motorbrot', 'name': 'Michi✌👍', 'id': '1394330757888454658'}, {'screen_name': 'derHelper', 'name': 'Helper🚛🥕🌋🇳🇮🗝⚡', 'id': '4220152625'}, {'screen_name': 'jesse_hodl', 'name': 'Jesse', 'id': '464863228'}, {'screen_name': 'lightningrises', 'name': 'r.scala⚡️', 'id': '2756151069'}, {'screen_name': 'BitBoxer75', 'name': '\u20bfit\u20bfoxer ∞/21M ⚡️🔑🧀', 'id': '1375448801301893125'}, {'screen_name': 'blocktrainer', 'name': 'Blocktrainer', 'id': '1000776702497345536'}]",,,,
1498052639078195205,1498021154694615044,2022-02-28 03:19:16 India Standard Time,2022-02-28,03:19:16,+0530,328155493,jeevsthecurious,Jeevs,,@Thiago54604073 @SusieBdds Maybe with the stoned expression when @LayahHeilpern gave Schiff a sick 🔥 on live TV asking of people accepting gold or Bitcoin during the Ukraine war. 😉,en,"[{'screen_name': 'layahheilpern', 'name': 'layah heilpern', 'id': '455937214'}]",[],[],0,0,0,[],[],https://twitter.com/jeevsthecurious/status/1498052639078195205,False,,0,,,,,,,,"[{'screen_name': 'Thiago54604073', 'name': 'Thiago', 'id': '1397776303827398660'}, {'screen_name': 'SusieBdds', 'name': 'Susie \u20bf', 'id': '34174121'}]",,,,
